Building tfidf matrix...

Done.

Tfidf matrix selected.

SVD


Building latent space using svd decomposition...

Current matrix in use is: tfidf.

Done.

Computing query-corpus similarity using SVD latent space...
Embedding type: tfidf
Latent SVD dimension: 100

Done.

Query 0: P: 0.4 R: 0.20689655172413793

Query 1: P: 0.13333333333333333 R: 0.08

Query 2: P: 0.5333333333333333 R: 0.8888888888888888

Query 3: P: 0.13333333333333333 R: 0.6666666666666666

Query 5: P: 0.26666666666666666 R: 0.8

Query 7: P: 0.2 R: 0.25

Query 8: P: 0.13333333333333333 R: 0.5

Query 9: P: 0.26666666666666666 R: 0.4444444444444444

Query 10: P: 0.06666666666666667 R: 0.125

Query 11: P: 0.06666666666666667 R: 0.16666666666666666

Query 13: P: 0.13333333333333333 R: 0.6666666666666666

Query 14: P: 0.13333333333333333 R: 0.6666666666666666

Query 15: P: 0.13333333333333333 R: 0.5

Query 16: P: 0.06666666666666667 R: 0.3333333333333333

Query 17: P: 0.13333333333333333 R: 0.5

Query 19: P: 0.2 R: 0.3

Query 20: P: 0.13333333333333333 R: 0.4

Query 23: P: 0.2 R: 0.75

Query 24: P: 0.4 R: 0.6

Query 25: P: 0.13333333333333333 R: 0.2857142857142857

Query 28: P: 0.13333333333333333 R: 0.2

Query 29: P: 0.06666666666666667 R: 0.125

Query 32: P: 0.13333333333333333 R: 0.5

Query 33: P: 0.13333333333333333 R: 0.2857142857142857

Query 34: P: 0.06666666666666667 R: 0.25

Query 36: P: 0.2 R: 0.3

Query 37: P: 0.06666666666666667 R: 0.09090909090909091

Query 38: P: 0.26666666666666666 R: 0.2857142857142857

Query 39: P: 0.13333333333333333 R: 0.15384615384615385

Query 40: P: 0.2 R: 0.75

Query 41: P: 0.2 R: 0.5

Query 42: P: 0.2 R: 0.42857142857142855

Query 44: P: 0.13333333333333333 R: 0.15384615384615385

Query 45: P: 0.06666666666666667 R: 0.0625

Query 46: P: 0.3333333333333333 R: 0.3333333333333333

Query 47: P: 0.13333333333333333 R: 0.16666666666666666

Query 48: P: 0.13333333333333333 R: 0.6666666666666666

Query 49: P: 0.06666666666666667 R: 0.14285714285714285

Query 50: P: 0.26666666666666666 R: 0.36363636363636365

Query 51: P: 0.2 R: 0.6

Query 52: P: 0.26666666666666666 R: 0.36363636363636365

Query 53: P: 0.06666666666666667 R: 0.1

Query 54: P: 0.26666666666666666 R: 0.36363636363636365

Query 55: P: 0.13333333333333333 R: 0.18181818181818182

Query 56: P: 0.2 R: 0.2

Query 57: P: 0.06666666666666667 R: 0.1

Query 58: P: 0.06666666666666667 R: 0.2

Query 59: P: 0.2 R: 0.5

Query 60: P: 0.06666666666666667 R: 0.16666666666666666

Query 63: P: 0.13333333333333333 R: 0.6666666666666666

Query 64: P: 0.4 R: 0.375

Query 65: P: 0.13333333333333333 R: 0.3333333333333333

Query 66: P: 0.4 R: 0.4

Query 68: P: 0.06666666666666667 R: 0.16666666666666666

Query 70: P: 0.2 R: 0.3333333333333333

Query 72: P: 0.26666666666666666 R: 0.19047619047619047

Query 75: P: 0.2 R: 0.375

Query 76: P: 0.2 R: 0.42857142857142855

Query 77: P: 0.2 R: 0.75

Query 78: P: 0.06666666666666667 R: 0.16666666666666666

Query 79: P: 0.13333333333333333 R: 0.4

Query 81: P: 0.13333333333333333 R: 0.3333333333333333

Query 83: P: 0.06666666666666667 R: 0.08333333333333333

Query 87: P: 0.4 R: 0.8571428571428571

Query 88: P: 0.2 R: 0.42857142857142855

Query 89: P: 0.13333333333333333 R: 0.14285714285714285

Query 90: P: 0.2 R: 0.3

Query 91: P: 0.4 R: 0.42857142857142855

Query 93: P: 0.2 R: 0.23076923076923078

Query 95: P: 0.13333333333333333 R: 0.14285714285714285

Query 99: P: 0.06666666666666667 R: 0.1

Query 100: P: 0.26666666666666666 R: 0.5714285714285714

Query 101: P: 0.06666666666666667 R: 0.2

Query 102: P: 0.06666666666666667 R: 0.3333333333333333

Query 103: P: 0.06666666666666667 R: 0.16666666666666666

Query 104: P: 0.13333333333333333 R: 0.3333333333333333

Query 105: P: 0.13333333333333333 R: 0.3333333333333333

Query 106: P: 0.2 R: 0.375

Query 107: P: 0.2 R: 0.375

Query 110: P: 0.06666666666666667 R: 0.125

Query 111: P: 0.06666666666666667 R: 0.3333333333333333

Query 113: P: 0.06666666666666667 R: 0.2

Query 116: P: 0.06666666666666667 R: 0.3333333333333333

Query 117: P: 0.06666666666666667 R: 0.25

Query 119: P: 0.2 R: 0.3

Query 120: P: 0.06666666666666667 R: 0.125

Query 121: P: 0.13333333333333333 R: 0.2

Query 122: P: 0.06666666666666667 R: 0.3333333333333333

Query 125: P: 0.06666666666666667 R: 0.1111111111111111

Query 127: P: 0.06666666666666667 R: 0.3333333333333333

Query 128: P: 0.2 R: 0.375

Query 129: P: 0.06666666666666667 R: 0.16666666666666666

Query 130: P: 0.3333333333333333 R: 0.5555555555555556

Query 131: P: 0.6666666666666666 R: 0.625

Query 132: P: 0.3333333333333333 R: 0.625

Query 133: P: 0.06666666666666667 R: 0.3333333333333333

Query 134: P: 0.26666666666666666 R: 0.4444444444444444

Query 135: P: 0.06666666666666667 R: 0.25

Query 136: P: 0.13333333333333333 R: 0.4

Query 137: P: 0.06666666666666667 R: 0.3333333333333333

Query 140: P: 0.13333333333333333 R: 0.2857142857142857

Query 143: P: 0.06666666666666667 R: 0.14285714285714285

Query 144: P: 0.06666666666666667 R: 0.125

Query 145: P: 0.06666666666666667 R: 0.3333333333333333

Query 146: P: 0.2 R: 0.2727272727272727

Query 147: P: 0.13333333333333333 R: 0.2857142857142857

Query 148: P: 0.2 R: 0.25

Query 152: P: 0.13333333333333333 R: 0.25

Query 154: P: 0.13333333333333333 R: 0.2857142857142857

Query 155: P: 0.4 R: 0.4

Query 156: P: 0.26666666666666666 R: 0.1

Query 157: P: 0.13333333333333333 R: 0.2222222222222222

Query 158: P: 0.13333333333333333 R: 0.2222222222222222

Query 160: P: 0.2 R: 0.42857142857142855

Query 161: P: 0.13333333333333333 R: 0.2222222222222222

Query 162: P: 0.13333333333333333 R: 0.5

Query 163: P: 0.13333333333333333 R: 0.2222222222222222

Query 164: P: 0.13333333333333333 R: 0.6666666666666666

Query 166: P: 0.13333333333333333 R: 0.6666666666666666

Query 167: P: 0.06666666666666667 R: 0.3333333333333333

Query 168: P: 0.13333333333333333 R: 0.4

Query 169: P: 0.26666666666666666 R: 0.5714285714285714

Query 170: P: 0.2 R: 0.75

Query 171: P: 0.2 R: 0.6

Query 172: P: 0.13333333333333333 R: 0.6666666666666666

Query 173: P: 0.13333333333333333 R: 0.3333333333333333

Query 175: P: 0.06666666666666667 R: 0.125

Query 176: P: 0.2 R: 0.5

Query 177: P: 0.26666666666666666 R: 0.8

Query 178: P: 0.13333333333333333 R: 0.4

Query 179: P: 0.3333333333333333 R: 0.625

Query 181: P: 0.06666666666666667 R: 0.3333333333333333

Query 183: P: 0.26666666666666666 R: 0.5

Query 184: P: 0.26666666666666666 R: 0.4

Query 185: P: 0.06666666666666667 R: 0.058823529411764705

Query 186: P: 0.13333333333333333 R: 0.2857142857142857

Query 187: P: 0.4 R: 0.5

Query 188: P: 0.13333333333333333 R: 0.2

