Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: wc.
Matrix shape: (1398, 5034) ---> (# docs: 1398, # words: 5034)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 51, 0.6435166113907703
1, 485, 0.5626228730046127
1, 102, 0.5434550812683823
1, 873, 0.5379338973353913
1, 436, 0.47648002411706325
1, 981, 0.4697958223977514
1, 184, 0.4573294885339967
1, 875, 0.45589020013866893
1, 1326, 0.4392853637711544
1, 12, 0.43820713710516374
1, 429, 0.43014055285788755
1, 5, 0.4294320062826457
1, 791, 0.4241395434365388
1, 378, 0.4197630860375836
1, 1303, 0.41640431781026555
2, 12, 0.7319361584296662
2, 429, 0.5842706069360368
2, 834, 0.5784352931970617
2, 1167, 0.5411321892285769
2, 745, 0.5378945166914557
2, 908, 0.5330176970110745
2, 92, 0.5328018305368608
2, 791, 0.5127348040006487
2, 1087, 0.4992300058651978
2, 639, 0.49819163006393513
2, 253, 0.49630628607340704
2, 883, 0.4911166287897955
2, 699, 0.46331402631051954
2, 833, 0.4593067369611895
2, 51, 0.45349217028452543
3, 181, 0.7389402821754026
3, 541, 0.6976087202251816
3, 5, 0.6668410810933807
3, 144, 0.6064206730058694
3, 586, 0.5881060972336146
3, 350, 0.5874380889718085
3, 584, 0.5827671269649459
3, 399, 0.5698563937804854
3, 158, 0.551446341920247
3, 962, 0.5508461517412517
3, 981, 0.5423444195859098
3, 508, 0.5362228354358021
3, 398, 0.5185215573325362
3, 731, 0.5082180056330524
3, 1215, 0.5049956534606321
4, 167, 0.66455646429925
4, 28, 0.6240574736109041
4, 659, 0.6176783231745062
4, 1243, 0.6015343663470738
4, 1081, 0.5685679125966929
4, 394, 0.5659243907321354
4, 188, 0.565792492592051
4, 34, 0.5650037590199807
4, 1180, 0.5643619662643842
4, 668, 0.5625205908497929
4, 540, 0.5594544444805813
4, 118, 0.5586921774062482
4, 1079, 0.5567404828854422
4, 179, 0.5562715479939865
4, 1083, 0.5432178221874215
5, 1377, 0.6529740847755032
5, 368, 0.5183852369461255
5, 640, 0.5124665767796736
5, 745, 0.5066328843240502
5, 92, 0.4879142959399281
5, 1251, 0.4637831879683899
5, 729, 0.4534349824461904
5, 26, 0.4441511090858809
5, 281, 0.4392036088465429
5, 731, 0.4387061593695141
5, 834, 0.4290130463010202
5, 1277, 0.42823912822989785
5, 320, 0.41463405596452607
5, 560, 0.4051721895393136
5, 1000, 0.40438009933828867
6, 490, 0.6748987252748735
6, 1273, 0.6737001021604898
6, 17, 0.602689704710321
6, 1372, 0.5373053313190158
6, 562, 0.5369152287055807
6, 774, 0.5362935797327693
6, 258, 0.530516143594134
6, 257, 0.5253658128992845
6, 121, 0.5226773354527363
6, 148, 0.5161364682598989
6, 97, 0.5107219805280514
6, 418, 0.5085730029096579
6, 118, 0.503355566584489
6, 1243, 0.5030323360141883
6, 525, 0.5006471103158662
7, 491, 0.8947235470823035
7, 1229, 0.7603998246807344
7, 1305, 0.6610404488280186
7, 354, 0.6257346221740991
7, 423, 0.6096956152885382
7, 1075, 0.5583296065682872
7, 1348, 0.5568430482526645
7, 992, 0.5560515214061108
7, 197, 0.5374920663802567
7, 1345, 0.5307021529692983
7, 1112, 0.5285734422126918
7, 1113, 0.5237619486672291
7, 58, 0.5224030262422267
7, 604, 0.5120611027320086
7, 248, 0.5053681497585603
8, 491, 0.7875572893035475
8, 122, 0.7657393436481743
8, 1229, 0.6367546570009633
8, 234, 0.623118920063617
8, 472, 0.573868839571745
8, 1260, 0.5482686181538394
8, 248, 0.5448113630273979
8, 354, 0.5273638999173617
8, 687, 0.5239724286123195
8, 370, 0.5154688192199023
8, 1348, 0.514417095037545
8, 1131, 0.5128437387870975
8, 1075, 0.5071545046987308
8, 992, 0.4985904029435559
8, 369, 0.49337865962742783
9, 398, 0.7671269311530393
9, 144, 0.725520344261948
9, 872, 0.6750126983638338
9, 871, 0.6738709303513303
9, 303, 0.6701891165402561
9, 622, 0.6690676747121049
9, 102, 0.6677814930608497
9, 982, 0.6594693298293394
9, 45, 0.6353396174254419
9, 553, 0.6231536195868994
9, 499, 0.6050012156875655
9, 395, 0.603891004648999
9, 548, 0.5943875130783308
9, 436, 0.5872803963042075
9, 396, 0.5738886065013564
10, 1212, 0.4931473157904929
10, 1284, 0.45201230734788433
10, 302, 0.4494419385476855
10, 441, 0.41112698268666187
10, 492, 0.40377476732726
10, 806, 0.4005295225771723
10, 405, 0.3987199722670667
10, 1310, 0.35331111020120454
10, 615, 0.3499774336420218
10, 655, 0.34723085680869464
10, 325, 0.34347542587505514
10, 535, 0.3384407648743861
10, 574, 0.33842849859861235
10, 463, 0.3275268371714195
10, 1148, 0.3133674988368904
11, 776, 0.6660518670476535
11, 1325, 0.640024523969586
11, 320, 0.6353952177898685
11, 653, 0.6024400101136587
11, 1146, 0.5595710382998965
11, 1387, 0.5562385687967975
11, 28, 0.5457126398111873
11, 494, 0.5288494643498124
11, 93, 0.5194984633289329
11, 640, 0.5158492224111179
11, 1106, 0.5106103423095752
11, 498, 0.5011126121496899
11, 72, 0.4846399896985843
11, 132, 0.48074026029426636
11, 1206, 0.480249091503229
12, 324, 0.6139702586629687
12, 891, 0.5647686608822056
12, 774, 0.5285525441833152
12, 493, 0.5266441939472559
12, 940, 0.5212109901176749
12, 601, 0.5200080278643961
12, 1007, 0.515252637571399
12, 375, 0.506620714823635
12, 371, 0.5006467652354697
12, 916, 0.49872280995447965
12, 1273, 0.4974562663599729
12, 1091, 0.4954379347883005
12, 1247, 0.49483819919204947
12, 1062, 0.4899271573259405
12, 798, 0.4879062644445435
13, 800, 0.33333211542077185
13, 1266, 0.33305035701562696
13, 440, 0.31403274425875816
13, 495, 0.312811061453328
13, 525, 0.2887417501699851
13, 199, 0.2823380385604857
13, 502, 0.2804037442611587
13, 902, 0.2801174838590095
13, 1359, 0.26861978513576484
13, 468, 0.2672655120893348
13, 875, 0.26233148547329427
13, 1151, 0.25896051108810825
13, 1288, 0.24842236159019118
13, 1152, 0.24492280710963343
13, 1205, 0.24079328837737904
14, 64, 0.7424966100822057
14, 65, 0.6421754586092875
14, 132, 0.6286173986476247
14, 402, 0.5901664165584948
14, 296, 0.589837164674636
14, 1387, 0.5160036259968345
14, 256, 0.5063852322570658
14, 72, 0.5020492238860736
14, 1206, 0.492554142788346
14, 797, 0.46307657365616156
14, 319, 0.4629808707552394
14, 178, 0.4569515866203604
14, 1218, 0.4554853868872019
14, 1319, 0.4481008616670039
14, 516, 0.44693798006490026
15, 405, 0.6713387412981312
15, 82, 0.6229211721683233
15, 1097, 0.6220202927910525
15, 1094, 0.5237564082034801
15, 1095, 0.461768078564596
15, 1023, 0.43927799316696525
15, 1096, 0.43423718949810947
15, 463, 0.4052891819501821
15, 552, 0.38712082227207784
15, 816, 0.384127119713742
15, 274, 0.382891057577566
15, 1063, 0.38110930936336557
15, 1098, 0.37291899075630575
15, 1277, 0.3551253408609319
15, 462, 0.3505448050064118
16, 497, 0.860044410576762
16, 231, 0.7999647463224353
16, 468, 0.6917286404974088
16, 530, 0.678833688358401
16, 1004, 0.6770001832252223
16, 106, 0.6749156511903734
16, 266, 0.6722325577151497
16, 318, 0.6414121451575635
16, 1110, 0.6369793761998402
16, 161, 0.6130136605311055
16, 1253, 0.6097819075664171
16, 493, 0.5791791699671285
16, 146, 0.5780089313574656
16, 802, 0.5663070568367924
16, 576, 0.5615541503885497
17, 1106, 0.673374456467092
17, 266, 0.6657316079517106
17, 606, 0.6504669126833119
17, 1146, 0.6164824293413028
17, 410, 0.60505890778779
17, 404, 0.6029577424407397
17, 181, 0.5948126749932572
17, 1251, 0.5854107406089721
17, 560, 0.5788307645194535
17, 640, 0.5720369085083381
17, 576, 0.566206090165107
17, 93, 0.5637225488856303
17, 87, 0.5604860415287497
17, 2, 0.559918312876524
17, 1222, 0.5529302634185574
18, 491, 0.7336636858797042
18, 1229, 0.6843454478766567
18, 197, 0.6504472354485449
18, 687, 0.6221398051809398
18, 906, 0.6132019373430256
18, 248, 0.6080859870901051
18, 1350, 0.5973289243886383
18, 196, 0.5908471397746312
18, 1348, 0.5800615642110424
18, 992, 0.5708427461276989
18, 1112, 0.562966694239716
18, 807, 0.5599193556963157
18, 1305, 0.5582512859500713
18, 423, 0.5424908803387068
18, 122, 0.5416063486680432
19, 286, 0.5915024296545766
19, 822, 0.5634865420826866
19, 644, 0.5292497177781063
19, 798, 0.5277534539657385
19, 1062, 0.5233983002084797
19, 448, 0.5218124292304123
19, 1213, 0.5117536890184621
19, 252, 0.5018705141417301
19, 495, 0.4867549539238636
19, 781, 0.48652273339145824
19, 609, 0.48629997477027975
19, 502, 0.4664258230331097
19, 1091, 0.4512282474091116
19, 517, 0.45004048820329207
19, 564, 0.44523085408604357
20, 144, 0.6214301806719511
20, 395, 0.6026113220879085
20, 872, 0.6005523722813336
20, 236, 0.5999829015597529
20, 1273, 0.599929401778374
20, 37, 0.5970345803571814
20, 499, 0.5789532511747402
20, 84, 0.5567027664240857
20, 398, 0.547708852002817
20, 88, 0.5443387690206405
20, 303, 0.5416535310304846
20, 632, 0.539588892680207
20, 871, 0.532643761742969
20, 578, 0.5307741102649463
20, 363, 0.5304814535092406
21, 501, 0.5845640489686487
21, 429, 0.4452887680010942
21, 17, 0.41366868041211385
21, 114, 0.4077301238087142
21, 1049, 0.40376833784579114
21, 156, 0.3959263916706048
21, 152, 0.3821686821967996
21, 238, 0.36203374612056366
21, 1372, 0.3587291279656059
21, 1119, 0.3562706766392103
21, 302, 0.35163591503869207
21, 791, 0.34968730135254933
21, 507, 0.330635674801363
21, 1169, 0.318395517945636
21, 81, 0.3124234831162153
22, 1145, 0.500594818700036
22, 559, 0.4803073891251981
22, 140, 0.4764774542440153
22, 254, 0.4633272697939699
22, 868, 0.44970171055186653
22, 1314, 0.4424997801813632
22, 979, 0.4374167876728968
22, 387, 0.42722214372710937
22, 125, 0.42502005241279106
22, 90, 0.42420247690910845
22, 151, 0.42285856121008925
22, 95, 0.4020693961953709
22, 91, 0.3997794916063122
22, 961, 0.39604961868825267
22, 348, 0.39282964509984913
23, 752, 0.5583194536342816
23, 1064, 0.5184516269682132
23, 14, 0.5030641533817775
23, 714, 0.5013852326714963
23, 202, 0.47656004278349134
23, 441, 0.4259437323549533
23, 748, 0.4164082716414935
23, 1195, 0.4158701315927776
23, 812, 0.40202518133232545
23, 137, 0.3965954410491252
23, 390, 0.3778024994522311
23, 1331, 0.3686346856564487
23, 287, 0.36401446463173526
23, 453, 0.359892345459019
23, 1377, 0.35347273987996397
24, 12, 0.6330452745396371
24, 883, 0.630044055038368
24, 725, 0.5579194423412873
24, 46, 0.5403201044245106
24, 100, 0.5303133889755741
24, 1359, 0.5267449851496743
24, 47, 0.5257330187870375
24, 908, 0.5252419848558155
24, 639, 0.517423763300454
24, 833, 0.507540157976136
24, 882, 0.49652586156519013
24, 51, 0.4906106296745221
24, 722, 0.48867956032245224
24, 834, 0.4885275283573552
24, 719, 0.4665150312442982
25, 278, 0.6475885059255125
25, 97, 0.6194112792772466
25, 216, 0.6067164777263995
25, 426, 0.5925375990085955
25, 471, 0.581512687082815
25, 1193, 0.5366184464563927
25, 118, 0.5328173822735749
25, 455, 0.514686146196231
25, 121, 0.5105511052265748
25, 1149, 0.500750048670984
25, 18, 0.49666292073402085
25, 427, 0.49435351012900325
25, 486, 0.48575536891150045
25, 1273, 0.48494094826957335
25, 167, 0.4746205284068831
26, 4, 0.7676524234917287
26, 135, 0.6841257998989796
26, 628, 0.6784971528217488
26, 309, 0.6784331373879491
26, 393, 0.6650772299042089
26, 382, 0.6626552928774708
26, 306, 0.64747257645652
26, 3, 0.6439991161050301
26, 180, 0.6407444116285834
26, 376, 0.6391735836434306
26, 610, 0.637160789363027
26, 23, 0.6307296128267886
26, 145, 0.6253896735533652
26, 21, 0.6246712969745881
26, 307, 0.6120766757649692
27, 751, 0.7629500455451352
27, 920, 0.6359441341277631
27, 918, 0.6171332184503149
27, 247, 0.6136305819075754
27, 250, 0.6007472332944277
27, 14, 0.5835566635548124
27, 1073, 0.5803833074898739
27, 679, 0.5771648588351067
27, 195, 0.5756546200167689
27, 673, 0.5208577112639201
27, 819, 0.5139955737130608
27, 30, 0.5111721766186288
27, 675, 0.4994138026381931
27, 919, 0.49416501240527005
27, 818, 0.4791324225868632
28, 751, 0.7006029274486741
28, 920, 0.6083256149470017
28, 1073, 0.5943751446060912
28, 918, 0.5874643378918412
28, 250, 0.569378476556486
28, 247, 0.5594625218195239
28, 679, 0.5551300385783255
28, 195, 0.5509110569452811
28, 14, 0.5190076830617348
28, 30, 0.5123971866635079
28, 367, 0.511264137755301
28, 246, 0.5056534329676489
28, 673, 0.5039480595976352
28, 1046, 0.49896589591352547
28, 675, 0.4977114336614527
29, 420, 0.7536964012204644
29, 901, 0.7404192051472959
29, 682, 0.6736988307654219
29, 899, 0.6296060747717334
29, 600, 0.6290542549048515
29, 632, 0.5970876100775054
29, 796, 0.5927714346762409
29, 211, 0.5906880993128069
29, 26, 0.5796653448452656
29, 465, 0.5701084882691776
29, 222, 0.5660679351286726
29, 611, 0.5608154208139533
29, 520, 0.5563745759129125
