Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: tfidf.
Matrix shape: (1398, 5034) ---> (# docs: 1398, # words: 5034)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 51, 0.6897305547946305
1, 485, 0.6429309857471753
1, 873, 0.6106368449824571
1, 184, 0.5759919657338355
1, 102, 0.5517233954459686
1, 12, 0.49165141974817417
1, 875, 0.4567128190095883
1, 874, 0.45419034223934207
1, 791, 0.44772537308844185
1, 253, 0.435342500620741
1, 878, 0.432498887229808
1, 746, 0.42448076826537934
1, 114, 0.421899482033331
1, 1326, 0.41650619442212694
1, 1303, 0.4148901944674532
2, 12, 0.807540497820975
2, 1167, 0.6173728870366195
2, 745, 0.6054089369175579
2, 51, 0.605070804388094
2, 253, 0.5988144777514092
2, 791, 0.5601179319928469
2, 92, 0.5534277004378219
2, 100, 0.5417688558833318
2, 883, 0.5068574354233747
2, 1087, 0.4944524045001689
2, 809, 0.49126746773064317
2, 639, 0.485742885558404
2, 429, 0.48215273862163255
2, 924, 0.46475104231165265
2, 833, 0.4628425736410093
3, 5, 0.816798689287399
3, 484, 0.7528832901040765
3, 399, 0.7383608990099438
3, 144, 0.730332427299175
3, 181, 0.718978763621522
3, 6, 0.7140699096060906
3, 581, 0.6403404419195912
3, 541, 0.6167574132565745
3, 91, 0.6038099327688163
3, 586, 0.5676178929040389
3, 90, 0.547427125980238
3, 158, 0.5310527769623308
3, 508, 0.5182576176907224
3, 977, 0.5145014250583823
3, 980, 0.47836311699560363
4, 236, 0.6356442638226403
4, 259, 0.6161662444890563
4, 167, 0.6104774282224257
4, 1294, 0.5620470824138075
4, 317, 0.5618839885407702
4, 573, 0.5424570336567246
4, 166, 0.5390432776508121
4, 1187, 0.5382893088102843
4, 1293, 0.5259865704629505
4, 1008, 0.5258823732788561
4, 487, 0.5245828420771913
4, 655, 0.5183479629007007
4, 624, 0.5093600142662043
4, 574, 0.508738226157742
4, 401, 0.5080802613410822
5, 1377, 0.5619896467906326
5, 26, 0.5580874518309865
5, 1293, 0.5008179902871202
5, 1277, 0.49786147007448667
5, 624, 0.4666116598585865
5, 1000, 0.4653007151940216
5, 1294, 0.4470616041108211
5, 745, 0.44140816362589325
5, 1308, 0.43582288345302633
5, 327, 0.4291605090753771
5, 536, 0.424669624554343
5, 572, 0.4211276638234161
5, 924, 0.4194581479081173
5, 576, 0.4173764830077546
5, 360, 0.40979967147624374
6, 99, 0.6938523958023985
6, 490, 0.6235952390291806
6, 258, 0.6183071066780472
6, 1279, 0.5468903041789971
6, 151, 0.5419394984092227
6, 1273, 0.5368048673694088
6, 257, 0.5182490630148016
6, 557, 0.5120974410660082
6, 562, 0.49247396093021745
6, 413, 0.4701725161504371
6, 860, 0.44934794729327954
6, 975, 0.43625844893591886
6, 1239, 0.43348100577991044
6, 115, 0.431922437292434
6, 142, 0.4257005357391436
7, 491, 0.9497994763650692
7, 1229, 0.7605429231642656
7, 1305, 0.654364996907254
7, 354, 0.6430142587961061
7, 1348, 0.600175406482018
7, 1075, 0.5943423972707313
7, 197, 0.5771257025603479
7, 1345, 0.5544207140881702
7, 946, 0.5477328303739517
7, 122, 0.5371155348314486
7, 1113, 0.5358545066710853
7, 992, 0.5283999089971886
7, 248, 0.5274817904244982
7, 48, 0.5175261656644238
7, 716, 0.5135518702972665
8, 491, 0.851549355098657
8, 122, 0.7526290505244504
8, 1229, 0.7380922505499202
8, 234, 0.6627178697006498
8, 1177, 0.628030459168218
8, 946, 0.5838239240223105
8, 1075, 0.5781022809621057
8, 687, 0.5779384612094618
8, 354, 0.5706253069197843
8, 1305, 0.5628463661158758
8, 197, 0.5596123678024569
8, 248, 0.5584036022593726
8, 814, 0.5488265852556912
8, 1348, 0.546576332674318
8, 1260, 0.5431603001459876
9, 622, 0.7614825483445491
9, 398, 0.6842162381490324
9, 553, 0.6599115453912363
9, 102, 0.6531361628843045
9, 303, 0.6443434334627797
9, 21, 0.6359128635641562
9, 982, 0.6229551663145599
9, 144, 0.5980457202624209
9, 871, 0.5722420146038295
9, 378, 0.5629895859241013
9, 508, 0.5301425177095676
9, 1205, 0.5294887344339537
9, 306, 0.5222121111869844
9, 45, 0.5205164211573879
9, 499, 0.5081358432053514
10, 405, 0.6800279082911874
10, 302, 0.6768405355317574
10, 948, 0.6249713228063044
10, 690, 0.610623956516098
10, 1310, 0.5777205353058638
10, 259, 0.5582411878930246
10, 1009, 0.539411141802318
10, 492, 0.5000379704752266
10, 523, 0.4900460921316591
10, 1284, 0.4702716264310837
10, 463, 0.46686684562997194
10, 436, 0.4562860914806878
10, 236, 0.4348762514773097
10, 1008, 0.43464729045299577
10, 110, 0.4254647543743623
11, 494, 0.6926928393031854
11, 653, 0.6539853117194858
11, 1325, 0.6253355586790283
11, 664, 0.5530553979786441
11, 28, 0.547050529308907
11, 1387, 0.5460912012716049
11, 132, 0.5407864825688041
11, 320, 0.49755319099448875
11, 64, 0.4962746328824797
11, 319, 0.4757702150026979
11, 776, 0.4691932017816143
11, 402, 0.4665666727189299
11, 1206, 0.46508009601201145
11, 72, 0.4529303214117636
11, 555, 0.4386720717082329
12, 651, 0.5329539000701864
12, 1221, 0.5218225273067144
12, 245, 0.5212761529415322
12, 1207, 0.48891206628687206
12, 1163, 0.47438228492538037
12, 623, 0.4610890471238051
12, 1092, 0.4606514101005615
12, 1142, 0.45536765036600924
12, 1165, 0.4426057659861836
12, 206, 0.43887401074162496
12, 630, 0.4381758915084719
12, 940, 0.4326141098296192
12, 1162, 0.41988422500388856
12, 1062, 0.4181460399786803
12, 86, 0.4179796171784726
13, 495, 0.6735934200228836
13, 468, 0.6644996639132713
13, 800, 0.618641482878014
13, 469, 0.6126526920307245
13, 502, 0.5991442289149089
13, 525, 0.5913971676548896
13, 38, 0.549743182851013
13, 313, 0.5483580434883093
13, 902, 0.46417051975686796
13, 440, 0.4397492795938475
13, 878, 0.4346760844484889
13, 312, 0.4056027056882892
13, 1222, 0.40458603763448125
13, 520, 0.3794669766411094
13, 1288, 0.37022943167367883
14, 64, 0.6502769741079389
14, 170, 0.6441696363914231
14, 345, 0.6287863703268205
14, 256, 0.6256569307661347
14, 1362, 0.5840949494738586
14, 132, 0.5736846704345755
14, 402, 0.5576577451864017
14, 335, 0.5479848304003415
14, 797, 0.5430804693693022
14, 1387, 0.517645942645621
14, 65, 0.5091492762100641
14, 291, 0.5000729053027593
14, 296, 0.4934998271614837
14, 190, 0.4658444615431581
14, 968, 0.44918473065662085
15, 1094, 0.7887390738349415
15, 1097, 0.7582775531203148
15, 1095, 0.7178890300473515
15, 463, 0.6928191852908945
15, 1098, 0.6722339768351171
15, 552, 0.6612807713978643
15, 1096, 0.6440250439543787
15, 82, 0.643645892885962
15, 1063, 0.6110729581003851
15, 462, 0.6015595269613532
15, 274, 0.4932926837161065
15, 1277, 0.46810732220745893
15, 865, 0.4444107363002407
15, 1099, 0.4121692324763819
15, 816, 0.3760952545617714
16, 497, 0.7985486468514336
16, 231, 0.7910787052038619
16, 106, 0.7340173028684571
16, 161, 0.6202065915296041
16, 1110, 0.6140507464127546
16, 248, 0.5874977367736304
16, 1299, 0.5630430730581852
16, 921, 0.5513789229724911
16, 146, 0.5505923420068428
16, 410, 0.518145710482604
16, 493, 0.5142817542667854
16, 801, 0.5037821438999746
16, 1253, 0.501785166521118
16, 384, 0.5002375254192153
16, 266, 0.4966402735986616
17, 106, 0.622983673031461
17, 266, 0.5858790828104647
17, 1106, 0.5844571260227149
17, 410, 0.5553730683488625
17, 497, 0.5290743362070782
17, 181, 0.5237772165328728
17, 1299, 0.5110241361628025
17, 1110, 0.5005328265157873
17, 231, 0.5002616737909557
17, 731, 0.48220043706644033
17, 606, 0.4743226661860087
17, 921, 0.45979953191313494
17, 93, 0.45673945313845116
17, 1253, 0.453386454341534
17, 146, 0.451019919523183
18, 491, 0.7941029881944336
18, 197, 0.6672071977741317
18, 248, 0.6668618107663259
18, 1229, 0.6630377578297738
18, 497, 0.6422042934078804
18, 122, 0.6153311406611796
18, 906, 0.5962325590740649
18, 1348, 0.5944749767431192
18, 234, 0.583491303874671
18, 687, 0.5811038981693315
18, 196, 0.5775602509969574
18, 106, 0.5627805532808686
18, 1350, 0.5449395324669603
18, 992, 0.5368791536596877
18, 814, 0.5321078340804554
19, 286, 0.5121584390944304
19, 922, 0.4425115406947855
19, 519, 0.4316565975659517
19, 609, 0.4121160221134128
19, 808, 0.40869083931000605
19, 781, 0.4001048006494086
19, 798, 0.39600603356345837
19, 1241, 0.3891661091750565
19, 342, 0.38561615488422535
19, 252, 0.37527558209023143
19, 712, 0.37412754352845207
19, 1277, 0.37348354684302193
19, 1329, 0.37253802428213845
19, 1073, 0.37237924964793834
19, 1060, 0.36999865852026376
20, 144, 0.6388777750797701
20, 499, 0.6257114880005362
20, 872, 0.5913070458571119
20, 871, 0.5617055503054224
20, 395, 0.5516438368867674
20, 622, 0.545023098168359
20, 962, 0.5326827373991159
20, 270, 0.5223145819157017
20, 37, 0.5128047141128151
20, 5, 0.5066366069224705
20, 88, 0.5028207187414271
20, 508, 0.49986799260205583
20, 398, 0.4930946380842952
20, 407, 0.48435474773632087
20, 980, 0.481896375389298
21, 501, 0.8007157437728574
21, 271, 0.5732900180470096
21, 17, 0.5718944338523135
21, 377, 0.551445657409781
21, 376, 0.5229259612370799
21, 16, 0.48651117887508805
21, 537, 0.4775348401757431
21, 460, 0.44845234294177444
21, 1049, 0.4341822966083633
21, 1119, 0.39041108625831167
21, 81, 0.3715811183030813
21, 68, 0.3682128254008041
21, 1372, 0.3575465777495291
21, 837, 0.34676529856065946
21, 960, 0.34173281697189717
22, 140, 0.5673499146355967
22, 413, 0.5646648117820117
22, 254, 0.5621670140094902
22, 346, 0.5597035000405073
22, 1145, 0.5554731425939787
22, 559, 0.5329113528027664
22, 120, 0.520053627704845
22, 125, 0.5006726660837032
22, 348, 0.49934447883842314
22, 961, 0.486394004292811
22, 546, 0.48600437674999863
22, 605, 0.4615079079561401
22, 260, 0.45902101182396143
22, 545, 0.45535637678675067
22, 66, 0.43708660062722926
23, 891, 0.6495059070389191
23, 1195, 0.48870459718679615
23, 14, 0.485542147312347
23, 1107, 0.4239455934575944
23, 898, 0.42307046128762665
23, 752, 0.41279709402333953
23, 202, 0.393748133713685
23, 1257, 0.38339447081443523
23, 748, 0.37471809697391073
23, 1270, 0.36239270999940904
23, 780, 0.35803662513860085
23, 745, 0.3312741065172333
23, 1064, 0.32850179986719596
23, 453, 0.32199817495049726
23, 1378, 0.3159947041768977
24, 12, 0.721496436775693
24, 47, 0.677094066169481
24, 833, 0.6473311174302137
24, 755, 0.6126178526997538
24, 1359, 0.5829490370484763
24, 51, 0.5639569290802836
24, 100, 0.5453320305782424
24, 639, 0.5425682720713629
24, 92, 0.5291321319346339
24, 723, 0.5286023498162552
24, 46, 0.5264509630073185
24, 724, 0.5046523322628637
24, 883, 0.49886819390314696
24, 102, 0.4785042010247252
24, 719, 0.4699451662009562
25, 426, 0.6698721460359028
25, 277, 0.6092022836451635
25, 216, 0.6015763844044887
25, 214, 0.5839971424634711
25, 989, 0.5302013811167474
25, 771, 0.5130026194353903
25, 97, 0.4988704876804118
25, 215, 0.4908313588007891
25, 591, 0.4807378568361017
25, 345, 0.47291915382677635
25, 986, 0.4719087079591459
25, 212, 0.47190791974136115
25, 510, 0.45495959581173984
25, 18, 0.4393829154205596
25, 1269, 0.43323396880850473
26, 4, 0.7020700529097101
26, 307, 0.656687350091152
26, 610, 0.6340561345733171
26, 382, 0.6326214382787317
26, 145, 0.630705822273555
26, 135, 0.5964264394298263
26, 348, 0.5886272521377593
26, 567, 0.582298724456183
26, 546, 0.5812936423289063
26, 663, 0.5761848666752131
26, 561, 0.5707787181419418
26, 406, 0.5547480463416634
26, 628, 0.5528195951447379
26, 3, 0.549683799401153
26, 23, 0.5482162635427198
27, 751, 0.5982537180344083
27, 920, 0.5502754082350061
27, 247, 0.5345920517881112
27, 679, 0.5313182151853199
27, 673, 0.5039136473158696
27, 250, 0.48658579464223284
27, 1029, 0.48360961407270986
27, 919, 0.46300453985841783
27, 918, 0.45940666340619973
27, 1264, 0.4462721123567092
27, 511, 0.4428800684211194
27, 14, 0.42928480487384113
27, 147, 0.4220217448387263
27, 779, 0.4143843078523508
27, 512, 0.4093747402369479
28, 920, 0.6471723039921451
28, 751, 0.6133164113337213
28, 679, 0.5531820612672566
28, 247, 0.542359489024956
28, 673, 0.5304554617207842
28, 250, 0.5267734368493731
28, 227, 0.5114212404075313
28, 918, 0.5040430529285641
28, 919, 0.5035447008472329
28, 680, 0.4832378802026682
28, 147, 0.47223986981989724
28, 1338, 0.4606895639414481
28, 246, 0.45576813507820163
28, 675, 0.45469621669544863
28, 676, 0.4431721779641387
29, 420, 0.7737582253102674
29, 899, 0.6966587053066174
29, 465, 0.6886609335232163
29, 682, 0.6822416287406038
29, 901, 0.6553939344293149
29, 611, 0.6317728635986992
29, 600, 0.6280894302669123
29, 796, 0.606517588440534
29, 222, 0.5932046659962157
29, 250, 0.5898624740523674
29, 900, 0.5683308674121169
29, 147, 0.5652010277347411
29, 1341, 0.5641097753901909
