Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: wc.
Matrix shape: (1033, 8464) ---> (# docs: 1033, # words: 8464)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 168, 0.9052109464091866
1, 138, 0.6618215002129347
1, 184, 0.6555592551978695
1, 169, 0.6052413266663654
1, 15, 0.5869301178290866
1, 212, 0.5529272916479371
1, 511, 0.5357458597695316
1, 142, 0.5329290721846437
1, 166, 0.5326807909483158
1, 171, 0.5264967929923332
1, 986, 0.5183954876414156
1, 513, 0.5167452094178061
1, 13, 0.5108649662909577
1, 185, 0.4932128017103466
1, 401, 0.4764856713088658
2, 258, 0.6680433538615022
2, 162, 0.6519290817424893
2, 289, 0.6264791951569373
2, 713, 0.6103439962246691
2, 291, 0.5830787034716419
2, 760, 0.5791612346629728
2, 237, 0.5790881893555538
2, 712, 0.5287275811343402
2, 292, 0.5257427788040735
2, 418, 0.471297469862794
2, 417, 0.46673561053433177
2, 187, 0.4514312074152826
2, 296, 0.43604207363682396
2, 3, 0.41651855530410303
2, 974, 0.3962550132835591
3, 281, 0.7972917163824874
3, 230, 0.7481342081515208
3, 277, 0.737092928414054
3, 160, 0.7094061050914534
3, 285, 0.6764572552782034
3, 282, 0.669851134938708
3, 276, 0.6577728496644158
3, 70, 0.5953275527832115
3, 523, 0.5855465930510494
3, 287, 0.5752309631144245
3, 141, 0.5569109918608035
3, 163, 0.5536882192139647
3, 286, 0.5266843826452555
3, 784, 0.5223796076573693
3, 232, 0.5064149498093794
4, 175, 0.8199312090994656
4, 177, 0.7250243955667852
4, 405, 0.6972240704743843
4, 209, 0.6528706669788424
4, 523, 0.5788463898589646
4, 156, 0.5529161217457335
4, 234, 0.5371049626427362
4, 295, 0.5291363835665536
4, 299, 0.5000017283054459
4, 654, 0.49539757692656383
4, 93, 0.48447956377369406
4, 96, 0.47600194929256334
4, 445, 0.4754916441292577
4, 400, 0.4709065785544047
4, 179, 0.47015842888323806
5, 8, 0.8723028779634068
5, 333, 0.8184101883453309
5, 308, 0.8115799514704529
5, 330, 0.8089320639284182
5, 327, 0.7548949621460499
5, 329, 0.7150442311377481
5, 10, 0.712199437649946
5, 307, 0.6862608445817041
5, 325, 0.6770262821951378
5, 594, 0.6682592241509875
5, 7, 0.6227900589817258
5, 306, 0.612032665547119
5, 5, 0.5890465378828474
5, 174, 0.5708125562329036
5, 305, 0.564937788606419
6, 116, 0.9298183208438159
6, 321, 0.8851985932988042
6, 238, 0.8332545957137989
6, 260, 0.8009140263608759
6, 115, 0.8007865673208571
6, 323, 0.7545630360375354
6, 112, 0.7438336689008439
6, 311, 0.7375547810917078
6, 242, 0.681657422715206
6, 253, 0.679985697483324
6, 309, 0.6301225642914327
6, 122, 0.6177719648362789
6, 243, 0.6060652811912325
6, 267, 0.5935010313937313
6, 320, 0.5795317518906322
7, 382, 0.6586455237864496
7, 82, 0.6385243793163026
7, 978, 0.5367859147375061
7, 261, 0.52520014577591
7, 797, 0.5152361838100029
7, 392, 0.4506981314398154
7, 791, 0.44970822353966333
7, 247, 0.4453339137711884
7, 530, 0.44378035383233233
7, 60, 0.44334289337162974
7, 154, 0.44011454638760394
7, 548, 0.4270508175343031
7, 88, 0.41143396107462876
7, 85, 0.4095205012065943
7, 161, 0.40689013856429884
8, 262, 0.6728053965352506
8, 52, 0.6685294275252237
8, 430, 0.6226912448153071
8, 434, 0.6148747960964819
8, 432, 0.5798292613937858
8, 426, 0.5742216110602563
8, 265, 0.5723701957564123
8, 435, 0.5674688736695305
8, 60, 0.5604761547197713
8, 433, 0.5592599169895929
8, 860, 0.5582730811873001
8, 429, 0.5580234106963009
8, 61, 0.5392246686061265
8, 250, 0.527906119405565
8, 582, 0.5153812043816616
9, 954, 0.6572254076199411
9, 139, 0.6519203344930039
9, 750, 0.5803551232855914
9, 365, 0.577433591845746
9, 97, 0.5554775897524269
9, 701, 0.5412995105045624
9, 114, 0.5231730199026697
9, 409, 0.5116180078708712
9, 1025, 0.4932181961395667
9, 371, 0.4892307868331528
9, 1024, 0.485356054380631
9, 655, 0.4542428404756471
9, 223, 0.4534279346949837
9, 664, 0.4392114091179203
9, 62, 0.4301332676657521
10, 534, 0.588784490702289
10, 543, 0.5650520518097008
10, 532, 0.5422597381815987
10, 529, 0.5325620963836226
10, 465, 0.5195208525147593
10, 539, 0.4706618869567029
10, 596, 0.4122255949815788
10, 533, 0.4041996446983822
10, 538, 0.40096333117026123
10, 254, 0.3881181274220183
10, 530, 0.38784411989244755
10, 224, 0.3817786884101242
10, 638, 0.3759253658138024
