Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: tfidf.
Matrix shape: (1033, 8464) ---> (# docs: 1033, # words: 8464)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 168, 0.82602093684685
1, 15, 0.7272760732357197
1, 184, 0.7151651080440717
1, 138, 0.7144817389557316
1, 169, 0.7074560270127914
1, 212, 0.6940159926803553
1, 142, 0.6891072490907664
1, 72, 0.6835409759796188
1, 513, 0.6795485349561502
1, 13, 0.6560233161922878
1, 166, 0.6409484935088297
1, 171, 0.6378814352592902
1, 170, 0.6134055336184107
1, 511, 0.6103004332920422
1, 181, 0.5999133963435415
2, 258, 0.7975950719453309
2, 162, 0.720223030262034
2, 289, 0.6923622556697306
2, 713, 0.6683914537857434
2, 237, 0.6595339083456857
2, 292, 0.6351708448644053
2, 187, 0.6300900038020316
2, 291, 0.6156299863001056
2, 712, 0.5852906856548491
2, 760, 0.5638934961912996
2, 296, 0.5063530825748179
2, 96, 0.4854394471623127
2, 418, 0.47828783182947404
2, 297, 0.47389781306394707
2, 301, 0.47177518613494057
3, 277, 0.7544409571788249
3, 276, 0.7512521155093647
3, 160, 0.7489413651813017
3, 70, 0.6684255736509208
3, 230, 0.6530600697766431
3, 281, 0.6519763385662776
3, 282, 0.6489860666387874
3, 286, 0.6348753143641704
3, 71, 0.6107182497455421
3, 163, 0.6021839845996572
3, 283, 0.5987905039960436
3, 69, 0.5841523060076902
3, 287, 0.5711824623870078
3, 278, 0.5671487787416172
3, 285, 0.5638873724461688
4, 175, 0.723580873049342
4, 405, 0.703103558249679
4, 156, 0.6111077707682094
4, 177, 0.5837648332401941
4, 234, 0.5787889695601969
4, 93, 0.557961426695396
4, 179, 0.5301430764811423
4, 209, 0.5270976903612011
4, 400, 0.5223604857480986
4, 641, 0.5219719240376239
4, 207, 0.5145178780746534
4, 396, 0.49417431186749117
4, 523, 0.44761256806414934
4, 206, 0.4436648470909208
4, 94, 0.44159735683031376
5, 8, 0.8940715647959806
5, 330, 0.8673543240595034
5, 308, 0.844642654831734
5, 333, 0.8373966362580945
5, 327, 0.7852796529684806
5, 10, 0.7718376330964708
5, 307, 0.7279481268958683
5, 329, 0.7107561939018872
5, 5, 0.6646462213863523
5, 306, 0.6592188369239311
5, 305, 0.6550461358651092
5, 158, 0.6460663027353366
5, 6, 0.6391934987614476
5, 325, 0.6331623089932499
5, 7, 0.6030610207311966
6, 116, 0.9630629731013891
6, 321, 0.945072301922781
6, 115, 0.9012029492525888
6, 260, 0.871264473653085
6, 238, 0.8441974427909629
6, 311, 0.7766548961466812
6, 112, 0.7765420326234389
6, 243, 0.7405781807458919
6, 323, 0.7324092433106368
6, 242, 0.7199703319926634
6, 118, 0.6488035158306581
6, 253, 0.621137277031406
6, 390, 0.569992141418664
6, 31, 0.5456809981517059
6, 309, 0.544271106947822
7, 261, 0.8610952012589582
7, 121, 0.8204137188123325
7, 189, 0.8163226871732797
7, 391, 0.7483331086565312
7, 92, 0.703848188345074
7, 82, 0.6824219220175458
7, 392, 0.6333797934060029
7, 247, 0.6251349202175903
7, 387, 0.5085072437587004
7, 87, 0.46140982213801496
7, 705, 0.39997121119733703
7, 318, 0.3545535543739027
7, 317, 0.35231581287750774
7, 75, 0.3263036418986254
7, 122, 0.323255834513374
8, 60, 0.8235674339320923
8, 262, 0.8231142304327158
8, 434, 0.8008070451117136
8, 435, 0.7775854299987487
8, 52, 0.7717008769651897
8, 426, 0.7432091979873875
8, 61, 0.7281293876347729
8, 265, 0.7226473755831357
8, 430, 0.7179210660074324
8, 437, 0.7023614272924044
8, 427, 0.6911003470954264
8, 429, 0.6818408439615788
8, 433, 0.6777596093458064
8, 431, 0.6687892931279102
8, 432, 0.6288682151839551
9, 409, 0.7033814218703613
9, 56, 0.6005470378557145
9, 268, 0.5902430110060276
9, 415, 0.589764062266098
9, 273, 0.5435160961372281
9, 422, 0.5233744395834175
9, 139, 0.5105602737539306
9, 124, 0.5088864306195562
9, 126, 0.4603859991289638
9, 114, 0.46035719593085334
9, 416, 0.45440146006037885
9, 30, 0.4469583147442653
9, 53, 0.4394316918152423
9, 423, 0.42723802131591315
9, 89, 0.4120547858140347
10, 532, 0.6168918508508213
10, 543, 0.6001507638189276
10, 534, 0.5949905030603678
10, 223, 0.5223241055215853
10, 664, 0.5015238762392691
10, 539, 0.49097153333037313
10, 254, 0.48750222381182146
10, 529, 0.48704095737415426
10, 465, 0.4857850405660998
10, 153, 0.4766027931231142
10, 77, 0.4614153494829083
10, 638, 0.4527880518877067
10, 538, 0.4125488351330947
