Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: wc.
Matrix shape: (423, 14302) ---> (# docs: 423, # words: 14302)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 268, 0.7709093118786217
1, 323, 0.7443565002354742
1, 257, 0.7274431500340536
1, 308, 0.7257432602230761
1, 288, 0.7137447863567336
1, 304, 0.6965559478657507
1, 370, 0.5619956438887138
1, 326, 0.5556200923941976
1, 376, 0.5241027348375742
1, 334, 0.4780629515987193
1, 395, 0.37837364406517443
1, 171, 0.3670725708761742
1, 359, 0.3480704236105054
1, 383, 0.33114886108203234
1, 382, 0.3214286798282272
2, 383, 0.685774506653007
2, 376, 0.6694756013443502
2, 334, 0.662943090181646
2, 304, 0.6608841462462948
2, 171, 0.6474833060636557
2, 419, 0.644270771692701
2, 395, 0.6434695247107579
2, 370, 0.6220391937750517
2, 349, 0.5959549597233247
2, 268, 0.5692573114788274
2, 211, 0.5692408173202043
2, 326, 0.5566965383728597
2, 30, 0.5438710439540234
2, 257, 0.516002998262398
2, 323, 0.5109475703956274
3, 29, 0.6036363003955885
3, 211, 0.574356537231913
3, 30, 0.5550454613254179
3, 106, 0.5543563191420207
3, 350, 0.5392835177165127
3, 12, 0.5372808368288189
3, 383, 0.5265057334537055
3, 154, 0.5133611410239268
3, 316, 0.5001311390528584
3, 349, 0.49386460876869714
3, 102, 0.48569561821729085
3, 380, 0.4740223961414768
3, 171, 0.4709654590735012
3, 419, 0.4620426587224115
3, 407, 0.4572309626698953
4, 383, 0.7839755920724009
4, 419, 0.7730726470550301
4, 376, 0.7671329142509687
4, 211, 0.7431198649162772
4, 171, 0.7247645587802468
4, 395, 0.7200288377543612
4, 334, 0.6777765734826133
4, 30, 0.6723877765296628
4, 304, 0.6666308347654412
4, 350, 0.6522492412058738
4, 106, 0.624492989995615
4, 349, 0.5766773598867035
4, 29, 0.5541388994694687
4, 257, 0.5539561173709295
4, 268, 0.553652943179334
5, 30, 0.752849293686445
5, 383, 0.7521750607192518
5, 211, 0.7446145552002361
5, 171, 0.7380159050556638
5, 29, 0.7297131906074147
5, 349, 0.6970546758589325
5, 106, 0.6944258161349626
5, 395, 0.6722640791461573
5, 419, 0.6584742990137552
5, 12, 0.651554104452171
5, 350, 0.6337534215360691
5, 154, 0.6179782747189789
5, 407, 0.6112813341371673
5, 376, 0.5978453325197735
5, 304, 0.5499827136381551
6, 288, 0.8309996463967911
6, 323, 0.8016223178191926
6, 268, 0.7670472753444961
6, 308, 0.765420685767662
6, 257, 0.7360945047429001
6, 304, 0.6513912288439776
6, 326, 0.6058841110399261
6, 106, 0.584316842428403
6, 376, 0.5483114622121993
6, 30, 0.5467319201725127
6, 419, 0.5281198691279833
6, 383, 0.5268183088632251
6, 211, 0.5246780620009736
6, 154, 0.5223346706528873
6, 171, 0.5156008534934254
7, 384, 0.6103467361091649
7, 421, 0.5909423081802637
7, 49, 0.5719773833376673
7, 406, 0.4792627687795574
7, 153, 0.4049557112975347
7, 87, 0.39146306216650584
7, 239, 0.3701469064072643
7, 169, 0.3616910953835078
7, 226, 0.32526303793902045
7, 232, 0.31537173960083337
7, 414, 0.31151845164787845
7, 327, 0.31096946061096475
7, 398, 0.3098093099107336
7, 315, 0.30038662959121987
7, 321, 0.29444276826136995
8, 358, 0.8926619017590166
8, 339, 0.8545592959935173
8, 61, 0.7779537158196882
8, 269, 0.7112838154199145
8, 303, 0.6448202660501737
8, 242, 0.6323324366549578
8, 155, 0.5692207097339766
8, 198, 0.42592417993038484
8, 156, 0.39551336225914036
8, 212, 0.35765235065638584
8, 36, 0.3086956466331751
8, 238, 0.2924551002448634
8, 258, 0.27910304936976627
8, 144, 0.21348250431733978
8, 68, 0.21066111773321242
9, 269, 0.7868741076975694
9, 358, 0.7851070841403247
9, 339, 0.7812305769174268
9, 61, 0.7410180074483727
9, 242, 0.7362645801662345
9, 303, 0.5759401793068037
9, 156, 0.5479932143710524
9, 198, 0.5376599330706743
9, 238, 0.49202192525587624
9, 155, 0.44317479858029524
9, 258, 0.23441971181144902
9, 355, 0.22575427404208118
9, 68, 0.21766236443305312
9, 245, 0.20057021624660604
9, 225, 0.19947967089931684
10, 358, 0.7950037804574848
10, 61, 0.743775045668512
10, 155, 0.7323088150865706
10, 303, 0.722979211615097
10, 269, 0.7216684909001236
10, 242, 0.6690447221135909
10, 156, 0.5315409117946176
10, 339, 0.5197225803174358
10, 144, 0.36013369594757494
10, 258, 0.3587104503574871
10, 36, 0.35682434719297895
10, 167, 0.33485426478804897
10, 75, 0.3200938796851022
10, 198, 0.2799977460938108
10, 68, 0.27694740231761406
11, 198, 0.5714619981757632
11, 40, 0.5613482677915395
11, 316, 0.5544111664260545
11, 142, 0.4886203316150462
11, 423, 0.48140130258903496
11, 312, 0.43927591039365066
11, 380, 0.4310292956062387
11, 269, 0.42482982241570344
11, 266, 0.39606256673156465
11, 327, 0.38835458602735984
11, 102, 0.3849696763025973
11, 361, 0.38480615369357546
11, 200, 0.37523817972112467
11, 82, 0.3662379663113265
11, 415, 0.3642484807259543
12, 358, 0.8534381025968529
12, 242, 0.8028539526679912
12, 269, 0.797647706003751
12, 303, 0.7941575166888725
12, 61, 0.7507561283837584
12, 156, 0.6691507240792032
12, 155, 0.6462649516083099
12, 339, 0.6152569765416361
12, 198, 0.46044886411610814
12, 36, 0.37570104641415986
12, 258, 0.3082839525484293
12, 68, 0.2924911067511368
12, 238, 0.2633449313577406
12, 144, 0.2574026579088087
12, 167, 0.25094173119860885
13, 79, 0.5423116465640175
13, 32, 0.5399758151681155
13, 93, 0.5000304193945857
13, 248, 0.4686279846413864
13, 247, 0.46125850663750695
13, 151, 0.43406382329351356
13, 20, 0.42612933670014574
13, 185, 0.4190354176155683
13, 409, 0.41589733168294724
13, 40, 0.40934712977252635
13, 198, 0.40774696453101356
13, 207, 0.3968907329477333
13, 170, 0.3922541168036771
13, 1, 0.3857202331893297
13, 169, 0.3747710473406032
14, 3, 0.49404729399855946
14, 336, 0.48937139405882357
14, 415, 0.4824291131251608
14, 299, 0.4734079829154072
14, 279, 0.4511817511015544
14, 411, 0.4496811453793019
14, 74, 0.42702404454986764
14, 417, 0.42476298435276966
14, 206, 0.4158596328722185
14, 107, 0.41184267189351076
14, 317, 0.4005300780891094
14, 60, 0.37742004281992664
14, 316, 0.3743544922435883
14, 78, 0.36873633686077084
14, 160, 0.36427354342643553
15, 422, 0.8757117982136599
15, 164, 0.8655662874650846
15, 118, 0.8424669735198932
15, 94, 0.7667083094225536
15, 128, 0.7627732482333434
15, 166, 0.4929032352488205
15, 354, 0.4498586812922735
15, 419, 0.4013398673626395
15, 338, 0.3977827918865688
15, 305, 0.39032052476616313
15, 400, 0.38515604336247666
15, 259, 0.33759962939839544
15, 200, 0.3369226302830478
