Author: Michele Alessi
Date: 2024-01-18

Current matrix-type (i.e. text-embedding type: tfidf, wc) in use is: tfidf.
Matrix shape: (423, 14302) ---> (# docs: 423, # words: 14302)

SVD queries info:
for each query, the top 15 documents retrieved are listed in the form: doc_id, score

query_id, doc_id, score
1, 268, 0.8803894340843202
1, 257, 0.8657793975264101
1, 308, 0.8617109983062585
1, 326, 0.8615196358008862
1, 304, 0.8580552101305355
1, 323, 0.8478952311295535
1, 288, 0.7676511375133662
1, 334, 0.7487581441338648
1, 370, 0.6720837801687718
1, 359, 0.5416100057670216
1, 324, 0.5030587372030066
1, 395, 0.4977750057909783
1, 376, 0.4954977124296917
1, 349, 0.4373822654799608
1, 171, 0.43662150822916085
2, 334, 0.8965978039762134
2, 395, 0.843510047266412
2, 383, 0.8319272636121616
2, 304, 0.8217224599203645
2, 171, 0.8158403305189454
2, 370, 0.8127049141707579
2, 349, 0.7909964201992867
2, 211, 0.7293785358570164
2, 359, 0.7234921272414541
2, 419, 0.7221061487080797
2, 326, 0.7069449578958724
2, 257, 0.6883267126263645
2, 376, 0.6812489319151335
2, 268, 0.6177547766285894
2, 350, 0.6033920496836302
3, 211, 0.7472566224995821
3, 349, 0.7313201058608019
3, 12, 0.6714572749924879
3, 407, 0.6646544297218085
3, 29, 0.6260643005678953
3, 383, 0.5851965160054041
3, 350, 0.578655809173551
3, 171, 0.5672374378430682
3, 395, 0.5516295375629304
3, 30, 0.5215741704164926
3, 154, 0.5157829560398965
3, 252, 0.5063264649556524
3, 419, 0.49392353098617764
3, 106, 0.4821904200558005
3, 334, 0.4561599080023268
4, 395, 0.8677500354592054
4, 334, 0.8607572270298187
4, 383, 0.8605684627046012
4, 171, 0.8601537658276556
4, 349, 0.8274219608973421
4, 211, 0.8246883430496869
4, 304, 0.781660824770127
4, 419, 0.7800049161855512
4, 370, 0.7406938406550821
4, 376, 0.7103344525954678
4, 350, 0.6841796092954519
4, 359, 0.663761108907087
4, 326, 0.6430439080998477
4, 257, 0.6321932959087703
4, 30, 0.5970007099212394
5, 211, 0.8692380410777591
5, 349, 0.8344946283442729
5, 171, 0.7970512890023874
5, 395, 0.7542067341010674
5, 383, 0.7463850674023499
5, 12, 0.7384043729276949
5, 407, 0.7118562899060938
5, 350, 0.6840099601443993
5, 29, 0.6582763252147221
5, 419, 0.6582045965755859
5, 30, 0.6453164934216385
5, 334, 0.640323685174449
5, 304, 0.5867416634764978
5, 106, 0.5714237953960097
5, 376, 0.5454569991904755
6, 268, 0.8979888485593087
6, 323, 0.8961467677754155
6, 308, 0.8905574943032054
6, 257, 0.8890319601305111
6, 326, 0.8378036481036509
6, 288, 0.8373326644687739
6, 304, 0.8117320171626932
6, 324, 0.7270554250266212
6, 349, 0.6143689045762143
6, 334, 0.5979659022927897
6, 211, 0.5218035068995668
6, 171, 0.48812975175888534
6, 395, 0.46692817448125823
6, 383, 0.4475601857135312
6, 350, 0.40541056241282164
7, 49, 0.8669604952098902
7, 421, 0.8524782504568046
7, 384, 0.8384781538567683
7, 406, 0.7696344203352328
7, 153, 0.39133631840431526
7, 87, 0.3778944144790021
7, 169, 0.34681924654578516
7, 239, 0.34583623226701193
7, 170, 0.3078650168085623
7, 287, 0.292523018570947
7, 185, 0.2786065782558728
7, 175, 0.21891386823080639
7, 107, 0.2117340323010122
7, 232, 0.20840506188378705
7, 414, 0.19112818624991132
8, 358, 0.9568263980002595
8, 339, 0.8774373736051098
8, 61, 0.860518084902453
8, 156, 0.8018495119190181
8, 303, 0.7956847856364284
8, 155, 0.7951796817687963
8, 242, 0.7589848082645549
8, 269, 0.7161705146152674
8, 212, 0.5549765601560196
8, 36, 0.25370054743401577
8, 68, 0.21886415227580677
8, 258, 0.2183258400160307
8, 238, 0.18507161151750978
8, 198, 0.1846939370120668
8, 144, 0.16826775685633436
9, 269, 0.9111291772902066
9, 61, 0.8695482715288992
9, 339, 0.8599048316555852
9, 242, 0.8577293434836138
9, 358, 0.7981701458427082
9, 156, 0.7307083331951226
9, 198, 0.6718779523830062
9, 238, 0.647763831498901
9, 155, 0.5861151454691846
9, 303, 0.5080114882681365
9, 68, 0.18998815454649848
9, 127, 0.17986762859308786
9, 212, 0.1775749242157889
9, 46, 0.16529798138771848
9, 258, 0.12253096748868922
10, 358, 0.8854985898703877
10, 61, 0.8783025714740689
10, 156, 0.8592502640608236
10, 155, 0.8368650860453659
10, 303, 0.8152171663059137
10, 242, 0.8029373275807711
10, 269, 0.7762597710459151
10, 339, 0.6718103958487083
10, 258, 0.3151027414881592
10, 144, 0.3129619224904664
10, 167, 0.28760587528630943
10, 36, 0.2545584439551633
10, 75, 0.24759591272857878
10, 68, 0.24195796763140187
10, 212, 0.22945345284684437
11, 198, 0.8794637554620355
11, 238, 0.683738485699654
11, 269, 0.5471864539404584
11, 339, 0.5047786795471143
11, 61, 0.4126733841763903
11, 242, 0.39632488664684923
11, 316, 0.306633348648109
11, 358, 0.30443167423664697
11, 127, 0.3033810430124978
11, 272, 0.300272628618445
11, 46, 0.288288803036966
11, 142, 0.27462772516139705
11, 266, 0.2718589987124454
11, 156, 0.2576282928416934
11, 135, 0.25402784674898415
12, 61, 0.9284834701045078
12, 358, 0.9099683072789305
12, 269, 0.9002774984805163
12, 242, 0.8952722190113201
12, 156, 0.863984145691437
12, 339, 0.8056699391101481
12, 155, 0.7665327725090797
12, 303, 0.745743893191472
12, 198, 0.4632254684530427
12, 238, 0.4011156028458217
12, 36, 0.24743142453913064
12, 340, 0.2314890207474916
12, 258, 0.2208227193895251
12, 144, 0.21355562105995265
12, 212, 0.20683335706763814
13, 185, 0.7314972720189274
13, 170, 0.6898820028511505
13, 87, 0.6501349099928075
13, 169, 0.6472732184977583
13, 79, 0.6296868179891791
13, 287, 0.6146215526767975
13, 239, 0.5520600025241054
13, 350, 0.4585423467897657
13, 151, 0.4452027476526019
13, 153, 0.4057618694733835
13, 80, 0.3483450957658018
13, 32, 0.3396910722333776
13, 306, 0.32807169961941884
13, 228, 0.32760209636221105
13, 221, 0.3020934956868967
14, 279, 0.5993666285573277
14, 415, 0.5871240583129569
14, 74, 0.5472307811241648
14, 316, 0.5016795978965555
14, 336, 0.4217661722297088
14, 15, 0.4160804720449024
14, 275, 0.40307929319223174
14, 104, 0.401896073018128
14, 380, 0.4000088554759989
14, 266, 0.398417622987366
14, 367, 0.39070947046236076
14, 290, 0.3905342643976524
14, 206, 0.3862173840977056
14, 343, 0.3825221090676318
14, 382, 0.3812863568755686
15, 422, 0.9702578973140159
15, 118, 0.9562746073133889
15, 164, 0.9468202251583671
15, 94, 0.9319249098083254
15, 128, 0.8996169447414708
15, 166, 0.33957211094576084
15, 354, 0.275891135596215
15, 305, 0.25511471483485815
15, 419, 0.23262270848783603
15, 338, 0.22673142616957892
15, 331, 0.19424225094725953
15, 395, 0.18288421003178776
15, 196, 0.1705017838230654
